"Brand","Pricing","Photo","Model","Engine","Power","Torque_lb_ft","Gearbox","Drivetrain","Seats","Doors","Weight_lbs","Length","Width","Height","Fuel","Consumption_city","Consumption_highway","Body","Equipment","Dynamics","Off-road capabilities","Safety","Sport character","Price","Punkty_miasto","Punkty_trasa","Punkty_rodzinny","Punkty_uniwersalny","Efficiency","Result"
"Audi",63500,"https://www.ccarprice.com/products/Audi_S5_Convertible_2022.jpg","S5 Convertible 2022","3.0L Turbo V6 Gas",349,369,"Automatic","all",4,2,4167,184.9,72.7,54.5,"Petrol",21,28,"Convertible",7.5,7.2,3,6.3,6.7,6.9,5.2,8.3,2.2,7.1,3.9,0
"Audi",47300,"https://www.ccarprice.com/products/Audi_A5_Sportback_Premium_Plus_40_TFSI_quattro_2022.jpg","A5 Sportback Premium Plus 40 TFSI quattro 2022","2.0L Turbo Inline-4 Gas",201,236,"Automatic","all",5,4,3726,187.2,72.6,54.6,"Petrol",24,33,"Hatchback",8.1,4.5,5.1,5.7,4.3,7.7,6.7,7.4,3.4,7.9,4.5,0
"Audi",74800,"https://www.ccarprice.com/products/Audi_S6_2022.jpg","S6 2022","2.9L Twin-Turbo V6 Hybrid",444,443,"Automatic","all",6,4,4486,195,74.3,56.9,"Petrol",18,28,"SUV",7.5,8.1,5.6,6.5,5.6,6.3,4.3,8.2,6,8.5,3.7,0
"Audi",88200,"https://www.ccarprice.com/products/Audi_e_tron_S_Prestige_2023_1.jpg","e-tron S Prestige 2023","Electric",429,596,"Automatic","all",5,4,6030,193,77.8,65.5,"Electric",70,0,"SUV",5.9,7.2,5.6,6,3.3,5.6,6.5,1.9,6.2,6.7,5,0
"Audi",74000,"https://www.ccarprice.com/products/Audi_e_tron_Sportback_S_line_Prestige_Quattro_2023.jpg","e-tron Sportback S line Prestige Quattro 2023","Electric",355,414,"Automatic","all",5,4,5743,193,76.2,65,"Electric",70,0,"SUV",6.9,6.9,5.6,5.9,3.1,6.3,6.5,1.9,6,6.6,5,0
"Audi",74000,"https://www.ccarprice.com/products/Audi_e_tron_Sportback_S_line_Premium_Plus_quattro_2023.jpg","e-tron Sportback S line Premium Plus quattro 2023","Electric",355,414,"Automatic","all",5,4,5743,193,76.2,65,"Electric",70,0,"SUV",6.2,6.9,5.6,5.7,3.1,6.3,6.5,1.9,6,6.6,5,0
"Audi",171000,"https://www.ccarprice.com/products/Audi_R8_Spyder_5_2_V10_performance_RWD_2023.jpg","R8 Spyder 5.2 V10 performance RWD 2023","5.2L V10 Gas",562,406,"Automatic","rear",2,2,3594,174.4,76.4,48.9,"Unknown",14,23,"Convertible",5,10,4.1,4,7.4,1.5,5,5.8,1.5,5.6,3,0
"Audi",43200,"https://www.ccarprice.com/products/Audi_A3_Prestige_40TFSI_AWD_2022.jpg","A3 Prestige 40TFSI AWD 2022","2.0 L",201,221,"Automatic","all",5,4,3494,175.7,70.7,55.7,"Hybrid",28,36,"Sedan",6.2,4.4,3.7,5.1,4.3,7.9,5.6,9.3,5.2,9.2,5,0
"Audi",52700,"https://www.ccarprice.com/products/Audi_Q4_Sportback_50_e_tron_Premium_quattro_2022.jpg","Q4 Sportback 50 e-tron Premium quattro 2022","Electric",295,NA,"Automatic","all",5,4,3594,174.4,76.4,48.9,"Electric",0,0,"SUV",6.2,2.5,5.6,4.9,3.5,7.4,3.7,1.9,5.5,5.1,0,0
"Audi",158600,"https://www.ccarprice.com/products/Audi_R8_Coupe_5_2_V10_performance_RWD_2023.jpg","R8 Coupe 5.2 V10 performance RWD 2023","5.2L V10 Gas",562,406,"Automatic","rear",2,2,3594,174.4,76.4,48.9,"Unknown",14,23,"Coupe",5.6,10,4.5,4.3,7.4,2.1,5,5.8,1.5,5.6,3,0
